-55,184.2
-50,105.9
-45,62.5
-40,37.0
-35,21.7
-30,12.2
-25,6.5
-20,3.1
-15,1.5
-10,1.0
-5,1.4
0,2.6
5,4.4
10,6.7
15,9.7
20,13.5
25,18.0
30,23.7
35,31.0
40,40.7
45,54.5
50,75.4
55,110.8
